summary_date,site,co_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2018-12-31,2849,0.301,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2019-01-01,2849,0.289,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2019-01-02,2849,0.336,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2019-01-03,2849,0.305,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2019-01-04,2849,0.378,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2019-01-05,2849,0.357,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2019-01-06,2849,0.315,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2019-01-07,2849,0.304,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2019-01-08,2849,0.320,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2019-01-09,2849,0.411,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2019-01-10,2849,0.469,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2019-01-11,2849,0.563,Glendora-Laurel,23,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2019-01-12,2849,0.343,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2019-01-13,2849,0.302,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2019-01-14,2849,0.266,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2019-01-15,2849,0.276,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
