summary_date,site,co_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2018-12-31,2420,0.482,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-04,2420,1.147,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-05,2420,0.898,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-06,2420,0.333,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-07,2420,0.465,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-08,2420,0.937,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-09,2420,0.837,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-10,2420,0.650,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-11,2420,0.572,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-12,2420,0.287,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-13,2420,0.715,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-14,2420,0.523,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-15,2420,0.452,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-16,2420,0.325,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-17,2420,0.268,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-18,2420,0.490,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-19,2420,0.500,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-20,2420,0.580,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-21,2420,0.214,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-22,2420,0.189,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-23,2420,0.515,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-24,2420,0.357,Reseda,21,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-25,2420,0.316,Reseda,22,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-26,2420,0.246,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-27,2420,0.638,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-28,2420,0.977,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-29,2420,0.828,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-30,2420,0.662,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-31,2420,0.560,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-01,2420,0.575,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-02,2420,0.257,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-03,2420,0.219,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-04,2420,0.207,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-05,2420,0.240,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-06,2420,0.227,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-07,2420,0.491,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-08,2420,0.654,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-09,2420,0.427,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-10,2420,0.350,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-11,2420,0.372,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-12,2420,0.858,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-13,2420,0.642,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-14,2420,0.282,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-15,2420,0.426,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-16,2420,0.296,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-17,2420,0.252,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-18,2420,0.268,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-19,2420,0.387,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-20,2420,0.525,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-21,2420,0.348,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-22,2420,0.401,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-23,2420,0.568,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-24,2420,0.547,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-25,2420,0.628,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-26,2420,0.532,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-27,2420,0.390,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-02-28,2420,0.284,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-01,2420,0.281,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-02,2420,0.242,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-03,2420,0.219,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-04,2420,0.311,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-05,2420,0.427,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-06,2420,0.302,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-07,2420,0.237,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-08,2420,0.328,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-09,2420,0.365,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-10,2420,0.454,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-11,2420,0.423,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-12,2420,0.247,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-13,2420,0.231,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-14,2420,0.227,Reseda,21,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-15,2420,0.242,Reseda,18,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-16,2420,0.338,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-17,2420,0.403,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-18,2420,0.442,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-19,2420,0.423,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-20,2420,0.280,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-21,2420,0.302,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-23,2420,0.308,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-24,2420,0.365,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-25,2420,0.355,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-26,2420,0.379,Reseda,18,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-27,2420,0.260,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-28,2420,0.275,Reseda,21,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-29,2420,0.225,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-30,2420,0.256,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-03-31,2420,0.282,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-04-01,2420,0.471,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-04-02,2420,0.326,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-04-03,2420,0.237,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-04-04,2420,0.221,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-04-05,2420,0.229,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-04-06,2420,0.276,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-04-07,2420,0.326,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-04-08,2420,0.354,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-04-09,2420,0.264,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-04-10,2420,0.179,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-04-11,2420,0.220,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-04-12,2420,0.236,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
