summary_date,site,co_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2020-01-01,3502,0.214,Santa Clarita,23,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-02,3502,0.244,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-03,3502,0.312,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-04,3502,0.372,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-05,3502,0.188,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-06,3502,0.146,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-07,3502,0.274,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-08,3502,0.269,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-09,3502,0.252,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-10,3502,0.291,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-11,3502,0.316,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-12,3502,0.238,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-13,3502,0.323,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-14,3502,0.353,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-15,3502,0.400,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-16,3502,0.325,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-17,3502,0.244,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-18,3502,0.184,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-19,3502,0.161,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-20,3502,0.340,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-21,3502,0.208,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-22,3502,0.286,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-23,3502,0.298,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-24,3502,0.243,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-25,3502,0.311,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-26,3502,0.353,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-27,3502,0.172,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-28,3502,0.239,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-29,3502,0.180,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-30,3502,0.221,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-31,3502,0.240,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-01,3502,0.222,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-02,3502,0.254,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-03,3502,0.152,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-04,3502,0.164,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-05,3502,0.328,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-06,3502,0.399,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-07,3502,0.490,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-08,3502,0.453,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-09,3502,0.192,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-10,3502,0.132,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-11,3502,0.187,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-12,3502,0.338,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-13,3502,0.358,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-14,3502,0.382,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-15,3502,0.383,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-16,3502,0.298,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-17,3502,0.224,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-18,3502,0.304,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-19,3502,0.388,Santa Clarita,23,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-20,3502,0.338,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-21,3502,0.297,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-22,3502,0.185,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-23,3502,0.258,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
