summary_date,site,nox_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2018-12-31,3658,0.005,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-01,3658,0.006,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-02,3658,0.030,Lancaster-43301 Division Street,20,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-03,3658,0.043,Lancaster-43301 Division Street,21,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-04,3658,0.041,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-05,3658,0.026,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-06,3658,0.005,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-07,3658,0.011,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-08,3658,0.025,Lancaster-43301 Division Street,20,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-11,3658,0.038,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-12,3658,0.008,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-13,3658,0.010,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-14,3658,0.014,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-15,3658,0.011,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-16,3658,0.009,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-18,3658,0.008,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-19,3658,0.022,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-20,3658,0.015,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-21,3658,0.003,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-22,3658,0.027,Lancaster-43301 Division Street,18,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-23,3658,0.040,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-24,3658,0.032,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-25,3658,0.034,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-26,3658,0.022,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-27,3658,0.018,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-28,3658,0.034,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-29,3658,0.017,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-01-30,3658,0.033,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-02,3658,0.006,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-03,3658,0.003,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-04,3658,0.004,Lancaster-43301 Division Street,21,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-06,3658,0.006,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-07,3658,0.027,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-08,3658,0.034,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-09,3658,0.005,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-10,3658,0.003,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-11,3658,0.021,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-12,3658,0.034,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-13,3658,0.023,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-14,3658,0.009,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-15,3658,0.004,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-16,3658,0.003,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-17,3658,0.002,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-18,3658,0.004,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-19,3658,0.015,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-20,3658,0.009,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-21,3658,0.006,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-22,3658,0.015,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-23,3658,0.020,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-24,3658,0.013,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-25,3658,0.020,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-26,3658,0.018,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-27,3658,0.011,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-02-28,3658,0.005,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-01,3658,0.011,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-02,3658,0.004,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-03,3658,0.002,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-04,3658,0.006,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-05,3658,0.014,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-06,3658,0.006,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-07,3658,0.004,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-08,3658,0.004,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-09,3658,0.005,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
