summary_date,site,nox_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2020-01-01,3818,0.032,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2020-01-02,3818,0.074,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2020-01-03,3818,0.137,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2020-01-04,3818,0.110,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2020-01-05,3818,0.072,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2020-01-06,3818,0.159,Long Beach-Route 710 Near Road          ,23,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2020-01-07,3818,0.092,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2020-01-08,3818,0.054,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2020-01-09,3818,0.082,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2020-01-10,3818,0.097,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2020-01-11,3818,0.073,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2020-01-12,3818,0.045,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2020-01-13,3818,0.090,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2020-01-14,3818,0.111,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2020-01-15,3818,0.146,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2020-01-16,3818,0.057,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2020-01-17,3818,0.056,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
