summary_date,site,nox_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2020-01-01,2420,0.022,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-02,2420,0.013,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-03,2420,0.053,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-04,2420,0.044,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-05,2420,0.024,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-06,2420,0.009,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-07,2420,0.050,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-08,2420,0.036,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-09,2420,0.022,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-10,2420,0.030,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-11,2420,0.036,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-12,2420,0.025,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-13,2420,0.042,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-14,2420,0.044,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-15,2420,0.051,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-16,2420,0.032,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-17,2420,0.020,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-18,2420,0.019,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-19,2420,0.031,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-20,2420,0.043,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-21,2420,0.012,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-22,2420,0.032,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-23,2420,0.047,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-24,2420,0.036,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-25,2420,0.030,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-26,2420,0.009,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-27,2420,0.004,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-28,2420,0.005,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-29,2420,0.003,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-30,2420,0.009,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-31,2420,0.024,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-02-01,2420,0.032,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-02-02,2420,0.026,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-02-03,2420,0.003,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-02-04,2420,0.003,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-02-05,2420,0.032,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-02-06,2420,0.037,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-02-07,2420,0.044,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-02-08,2420,0.034,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-02-09,2420,0.006,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-02-10,2420,0.003,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-02-11,2420,0.011,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-02-12,2420,0.038,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-02-13,2420,0.031,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-02-14,2420,0.027,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-02-15,2420,0.025,Reseda,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
