summary_date,site,nox_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2020-01-01,2494,0.012,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.051090000000002,-118.4564 
2020-01-02,2494,0.021,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.051090000000002,-118.4564 
2020-01-03,2494,0.028,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.051090000000002,-118.4564 
2020-01-04,2494,0.031,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.051090000000002,-118.4564 
2020-01-05,2494,0.011,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.051090000000002,-118.4564 
2020-01-06,2494,0.012,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.051090000000002,-118.4564 
2020-01-07,2494,0.018,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.051090000000002,-118.4564 
2020-01-08,2494,0.019,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.051090000000002,-118.4564 
2020-01-09,2494,0.008,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.051090000000002,-118.4564 
2020-01-10,2494,0.025,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.051090000000002,-118.4564 
2020-01-11,2494,0.027,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.051090000000002,-118.4564 
2020-01-12,2494,0.012,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.051090000000002,-118.4564 
2020-01-13,2494,0.017,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.051090000000002,-118.4564 
2020-01-14,2494,0.027,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.051090000000002,-118.4564 
2020-01-15,2494,0.029,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.051090000000002,-118.4564 
2020-01-16,2494,0.026,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.051090000000002,-118.4564 
