summary_date,site,monitor,pm25_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2020-01-01,2420,-,17.6,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-02,2420,-,6.0,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-03,2420,-,11.7,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-04,2420,-,15.6,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-05,2420,-,9.7,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-06,2420,-,4.5,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-07,2420,-,7.3,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-08,2420,-,7.6,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-09,2420,-,6.5,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-10,2420,-,7.4,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-11,2420,-,13.4,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-12,2420,-,13.1,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-13,2420,-,18.9,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-14,2420,-,18.4,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-15,2420,-,20.7,Reseda,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-16,2420,-,21.2,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-17,2420,-,7.0,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-18,2420,-,7.8,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-19,2420,-,9.1,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-20,2420,-,15.1,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-21,2420,-,6.4,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-22,2420,-,11.4,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-23,2420,-,8.8,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2020-01-24,2420,-,5.8,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
